DJIA	FTSE100	USDGBP	CAC40	EURUSD	Nikkei	YENUSD
12866.78	6270.8	1.9563	5055.58	0.6485	13943.26	103.62
12745.88	6204.7	1.9461	4960.56	0.648	13655.34	103.23
12876.05	6220.6	1.9612	4976.21	0.6451	13743.36	103.67
12832.18	6211.9	1.9465	4998.67	0.6457	13953.73	104.45
12898.38	6216	1.9417	5055.24	0.647	14118.55	105.26
12992.66	6251.8	1.9464	5057.51	0.6461	14251.74	104.81
12986.8	6304.3	1.9537	5078.04	0.643	14219.48	104.08
13028.16	6376.5	1.9488	5142.1	0.6446	14269.61	104.48
12828.68	6191.6	1.9685	5054.88	0.6395	14160.09	103.84
12601.19	6198.1	1.9642	5027.55	0.6342	13926.3	103.27
12625.62	6181.6	1.9812	5028.74	0.6363	13978.46	103.95
12479.63	6087.3	1.9819	4933.77	0.6342	14012.2	103.37
12548.35	6058.5	1.9747	4906.56	0.6361	13893.31	104.1
12594.03	6069.6	1.9807	4971.11	0.6399	13709.44	104.75
12646.22	6068.1	1.9769	4975.9	0.6438	14124.47	105.41
12638.32	6053.5	1.9762	5014.28	0.6435	14338.54	105.57
12503.82	6007.6	1.9637	4935.21	0.644	14440.14	104.55
12402.85	6057.7	1.9665	4983.71	0.6468	14209.17	105.26
12390.48	5970.1	1.9537	4915.07	0.6473	14435.57	105.03
12604.45	5995.3	1.9547	4907.06	0.6437	14341.12	106.11
12209.81	5906.8	1.9698	4795.32	0.6355	14489.44	105.32
12280.32	5877.6	1.9766	4799.38	0.6358	14181.38	106.07
12289.76	5827.3	1.9527	4761.08	0.646	14021.17	107.19
12083.77	5723.3	1.9635	4660.91	0.6436	14183.48	106.77
12141.58	5790.5	1.9458	4672.3	0.6486	13888.6	108.03
12307.35	5802.8	1.9446	4682.3	0.6517	13973.73	108.02
12269.08	5794.6	1.9636	4657.74	0.6468	14354.37	108.28
12160.3	5861.9	1.9526	4686.33	0.645	14348.37	108.14
12029.06	5756.9	1.9584	4618.75	0.6445	14452.82	107.9
12063.09	5708.4	1.9711	4591.39	0.6456	14130.17	107.98
11842.69	5620.8	1.9756	4509.27	0.6397	13942.08	107.39
11842.36	5667.2	1.9594	4511.37	0.6458	13857.47	107.92
11807.43	5634.7	1.9711	4473.76	0.6413	13849.56	107.71
11811.83	5666.1	1.968	4536.29	0.6425	13829.92	108.17
11453.42	5518.2	1.989	4426.19	0.635	13822.32	107.19
11346.51	5529.9	1.9914	4397.32	0.6349	13544.36	106.14
11350.01	5625.9	1.9901	4434.85	0.6347	13481.38	106.01
11382.26	5479.9	1.9914	4341.21	0.6348	13463.2	106.01
11215.51	5426.3	1.9922	4296.48	0.6303	13286.37	106.11
11288.53	5476.6	1.9827	4343.99	0.6364	13265.4	106.68
11231.96	5512.7	1.9695	4342.59	0.6384	13360.04	107.52
11384.21	5440.5	1.9718	4275.61	0.6378	13033.1	107.21
11147.44	5529.6	1.9786	4339.66	0.6356	13052.13	107.12
11229.02	5406.8	1.978	4231.56	0.6332	13067.21	106.89
11100.54	5261.6	1.9884	4100.64	0.6286	13039.69	106.04
11055.19	5300.4	1.9918	4142.53	0.6291	13010.16	106.45
10962.54	5171.9	2.0049	4061.15	0.6261	12754.56	104.37
11239.28	5150.6	1.9963	4112.45	0.6321	12760.8	104.81
11446.66	5286.3	2.0069	4225.99	0.6296	12887.95	105.61
11496.57	5376.4	1.9963	4299.36	0.6308	12803.7	106.73
11602.5	5364.1	1.9966	4327.26	0.6315	13184.96	106.89
11632.38	5449.9	1.9967	4408.74	0.6371	13312.93	107.83
11349.28	5362.3	1.9829	4347.99	0.6381	13603.31	107.63
11370.69	5352.6	1.9874	4377.18	0.6381	13334.76	107.9
11131.08	5312.6	1.9912	4324.45	0.6354	13353.78	107.62
11397.56	5319.2	1.9808	4320.49	0.6412	13159.45	108.19
11583.69	5420.7	1.9793	4400.55	0.6427	13367.79	108.2
11378.02	5411.9	1.981	4392.36	0.6409	13376.81	108.07
11326.32	5354.7	1.9739	4314.34	0.6425	13094.59	107.53
11284.15	5320.2	1.9657	4280.63	0.6406	12933.18	107.98
11615.77	5454.5	1.955	4386.35	0.6457	12914.66	108.05
11656.07	5486.1	1.9508	4448.33	0.6485	13254.89	109.14
11431.43	5477.5	1.9444	4457.43	0.6504	13124.99	109.59
11734.32	5489.2	1.9159	4491.85	0.6653	13168.41	110.18
11782.35	5541.8	1.9176	4538.49	0.6667	13430.91	109.9
11642.47	5534.5	1.9013	4518.48	0.6707	13303.6	109.73
11532.96	5448.6	1.8651	4402.97	0.6726	13023.05	108.64
11615.93	5497.4	1.8752	4420.91	0.6713	12956.8	109.58
11659.9	5454.8	1.8632	4453.62	0.6809	13019.41	110.45
11479.39	5450.2	1.8658	4448.84	0.6801	13165.45	110.27
11348.55	5320.4	1.8621	4332.79	0.6801	12865.05	109.74
11417.43	5371.8	1.8586	4365.87	0.679	12851.69	109.9
11430.21	5370.2	1.8761	4304.61	0.672	12752.21	108.26
11628.06	5505.6	1.8582	4400.45	0.675	12666.04	109.93
11412.87	5470.7	1.8386	4368.55	0.6826	12778.71	109.84
11502.51	5528.1	1.8383	4373.08	0.6799	12752.96	109.73
11715.18	5601.2	1.8292	4461.49	0.6793	12768.25	109.41
11543.55	5636.6	1.8237	4482.6	0.6793	13072.87	108.52
11516.92	5620.7	1.7863	4539.07	0.6887	12609.47	108.84
11532.88	5499.7	1.7764	4447.13	0.6916	12689.59	108.43
11188.23	5362.1	1.7723	4304.01	0.6954	12557.66	108.09
11220.96	5240.7	1.7668	4196.66	0.701	12212.23	106.45
11510.74	5446.3	1.7643	4340.18	0.7039	12624.46	107.97
11230.73	5415.6	1.7641	4293.34	0.7075	12400.65	107.46
11268.92	5366.2	1.7552	4283.66	0.7114	12346.63	107.56
11433.71	5318.4	1.7507	4249.07	0.7182	12102.5	106.52
11421.99	5416.7	1.7859	4332.66	0.7054	12214.76	107.29
11059.02	5025.6	1.7743	4087.4	0.7083	11609.72	104.89
10609.66	4912.4	1.7955	4000.11	0.7046	11749.79	104.75
11019.69	4880	1.8193	3957.86	0.6956	11489.3	104.88
11388.44	5311.3	1.8327	4324.87	0.6942	11920.86	106.8
11015.69	5236.3	1.8441	4223.51	0.6832	12090.59	106.78
10825.17	5095.6	1.8523	4114.54	0.6819	12115.03	106.03
11022.06	5197	1.8472	4226.81	0.6817	12006.53	106.42
