DJIA	FTSE100	USDGBP	CAC40	EURUSD	Nikkei	YENUSD
12510.57	6245.2	1.9552	5540.01	0.7618	17248.63	118.69
12501.52	6240.9	1.9599	5533.36	0.7607	17224.81	118.98
12463.15	6220.8	1.957	5541.76	0.7584	17225.83	119.16
12480.69	6287	1.9447	5574.56	0.7639	17353.67	119.24
12398.01	6220.1	1.9275	5517.35	0.7698	17091.59	118.74
12416.6	6196.1	1.9406	5533.03	0.7691	17237.77	119.4
12442.16	6160.7	1.9351	5501.95	0.7724	16942.4	119.63
12514.98	6230.1	1.9415	5609.8	0.7758	16838.17	120.45
12556.08	6239	1.9604	5617.62	0.7732	17057.01	120.35
12582.59	6215.7	1.961	5591.54	0.7733	17202.46	120.74
12577.15	6204.5	1.9714	5561.78	0.7722	17261.35	120.53
12567.93	6210.3	1.9722	5555.04	0.7721	17370.93	121.31
12565.53	6237.2	1.974	5614.7	0.7725	17310.44	121.38
12477.16	6218.4	1.9763	5579.78	0.7717	17424.18	121.58
12533.8	6227.6	1.9865	5575.07	0.7673	17408.57	121.38
12621.77	6314.8	1.9655	5638.08	0.7714	17507.4	120.98
12502.56	6269.3	1.9708	5609.2	0.7706	17458.3	120.95
12487.02	6228	1.9596	5582.3	0.7748	17421.93	121.49
12490.78	6239.9	1.9579	5619.7	0.773	17470.46	121.91
12523.31	6242	1.9614	5645.59	0.7718	17490.19	121.53
12621.69	6203.1	1.9574	5608.31	0.7695	17383.42	120.95
12673.68	6282.2	1.9705	5662.25	0.7679	17519.5	120.5
12653.49	6310.9	1.9684	5677.3	0.7707	17547.11	121.14
12661.74	6317.9	1.9601	5681.11	0.7736	17344.8	120.29
12666.31	6346.3	1.9687	5676.78	0.772	17406.86	120.46
12666.87	6369.5	1.9701	5703	0.7682	17292.32	120.66
12637.63	6346.4	1.9583	5665.1	0.767	17292.48	121.18
12580.83	6382.8	1.9484	5692.45	0.7694	17504.33	121.7
12654.85	6381.8	1.9429	5682.69	0.7684	17621.45	121.3
12741.86	6421.2	1.9607	5725.84	0.7619	17752.64	120.78
12765.01	6433.3	1.9542	5720.88	0.7609	17897.23	119.48
12767.57	6419.5	1.95	5713.59	0.762	17875.65	119.31
12786.64	6412.3	1.9571	5713.45	0.7602	17939.12	120.11
12738.41	6357.1	1.9523	5694.56	0.7616	17913.21	120.99
12686.02	6380.9	1.9525	5707.86	0.7629	18108.79	121.44
12647.48	6401.5	1.9628	5716.38	0.7595	18188.42	121.08
12632.26	6434.7	1.9631	5762.54	0.7592	18215.35	120.54
12216.24	6286.1	1.9656	5588.39	0.755	18119.92	118.73
12268.63	6171.5	1.96	5516.32	0.7569	17604.12	118.47
12234.34	6116	1.9576	5458.4	0.7597	17453.51	117.64
12114.1	6116.2	1.9442	5424.7	0.7593	17217.93	117.02
12050.41	6058.7	1.926	5385.03	0.7634	16642.25	116.01
12207.59	6138.5	1.9255	5437.13	0.763	16844.5	116.25
12192.45	6156.5	1.9305	5455.07	0.7607	16764.62	116.56
12260.7	6227.7	1.9301	5524.26	0.7618	17090.31	117.34
12276.32	6245.2	1.9319	5537.84	0.7625	17164.04	118.1
12318.62	6233.3	1.9291	5496.07	0.7584	17292.39	117.56
12075.96	6161.2	1.9321	5432.94	0.7576	17178.84	116.98
12133.4	6000.7	1.9337	5296.22	0.7561	16676.89	116.34
12159.68	6133.2	1.9365	5389.85	0.7548	16860.39	117.28
12110.41	6130.6	1.9424	5382.16	0.7513	16744.15	116.76
12226.17	6189.4	1.9461	5458.95	0.7519	17009.55	117.59
12288.1	6220.3	1.9579	5503.27	0.7524	17163.2	117.33
12461.14	6318	1.9673	5598.37	0.7486	17419.2	117.76
12481.01	6339.4	1.9632	5634.75	0.7518	17480.61	117.83
12469.07	6291.9	1.9685	5576.3	0.75	17521.96	117.87
12397.29	6292.6	1.9653	5587.06	0.7492	17365.05	117.93
12300.36	6267.2	1.9654	5552.69	0.7481	17254.73	116.46
12348.75	6324.2	1.963	5631.53	0.75	17263.94	117.9
12354.35	6308	1.9613	5634.16	0.7512	17287.65	118.06
12382.3	6315.5	1.9777	5645.56	0.7477	17028.41	117.82
12510.93	6366.1	1.9785	5711.91	0.7478	17244.05	118.78
12530.05	6364.7	1.9772	5739.01	0.7477	17544.09	118.62
12560.83	6397.3	1.9718	5741.38	0.7443	17491.42	118.55
